User id,round,bucket,shift,count,shift_total_bucket,after_ai_appear_time,percent_shift,shift_per_sec,orientation,Acc
1,1,0,AI2Task,1,9,17.0,0.1111111111111111,0.14705882352941174,top,1
1,1,0,AI2User,1,9,17.0,0.1111111111111111,0.14705882352941174,top,1
1,1,0,Task2User,3,9,17.0,0.3333333333333333,0.4411764705882352,top,1
1,1,0,User2AI,2,9,17.0,0.2222222222222222,0.2941176470588235,top,1
1,1,0,User2Task,2,9,17.0,0.2222222222222222,0.2941176470588235,top,1
1,1,1,AI2Task,2,7,17.0,0.2857142857142857,0.2941176470588235,top,1
1,1,1,Task2AI,1,7,17.0,0.14285714285714285,0.14705882352941174,top,1
1,1,1,Task2User,2,7,17.0,0.2857142857142857,0.2941176470588235,top,1
1,1,1,User2AI,1,7,17.0,0.14285714285714285,0.14705882352941174,top,1
1,1,1,User2Task,1,7,17.0,0.14285714285714285,0.14705882352941174,top,1
1,1,2,User2Task,1,1,17.0,1.0,0.14705882352941174,top,1
1,10,0,AI2Task,2,16,42.0,0.125,0.11904761904761904,bottom,1
1,10,0,Task2AI,2,16,42.0,0.125,0.11904761904761904,bottom,1
1,10,0,Task2User,6,16,42.0,0.375,0.35714285714285715,bottom,1
1,10,0,User2AI,1,16,42.0,0.0625,0.05952380952380952,bottom,1
1,10,0,User2Task,5,16,42.0,0.3125,0.2976190476190476,bottom,1
1,10,1,AI2Task,2,12,42.0,0.16666666666666666,0.11904761904761904,bottom,1
1,10,1,AI2User,1,12,42.0,0.08333333333333333,0.05952380952380952,bottom,1
1,10,1,Task2User,4,12,42.0,0.3333333333333333,0.23809523809523808,bottom,1
1,10,1,User2AI,2,12,42.0,0.16666666666666666,0.11904761904761904,bottom,1
1,10,1,User2Task,3,12,42.0,0.25,0.17857142857142858,bottom,1
1,10,2,AI2Task,2,5,42.0,0.4,0.11904761904761904,bottom,1
1,10,2,Task2AI,2,5,42.0,0.4,0.11904761904761904,bottom,1
1,10,2,Task2User,1,5,42.0,0.2,0.05952380952380952,bottom,1
1,2,0,AI2Task,2,88,297.0,0.022727272727272728,0.016835016835016835,bottom,1
1,2,0,Task2AI,2,88,297.0,0.022727272727272728,0.016835016835016835,bottom,1
1,2,0,Task2User,42,88,297.0,0.4772727272727273,0.3535353535353535,bottom,1
1,2,0,User2Task,42,88,297.0,0.4772727272727273,0.3535353535353535,bottom,1
1,2,1,AI2Task,6,53,297.0,0.11320754716981132,0.0505050505050505,bottom,1
1,2,1,AI2User,1,53,297.0,0.018867924528301886,0.008417508417508417,bottom,1
1,2,1,Task2AI,7,53,297.0,0.1320754716981132,0.05892255892255892,bottom,1
1,2,1,Task2User,19,53,297.0,0.3584905660377358,0.15993265993265993,bottom,1
1,2,1,User2AI,2,53,297.0,0.03773584905660377,0.016835016835016835,bottom,1
1,2,1,User2Task,18,53,297.0,0.33962264150943394,0.1515151515151515,bottom,1
1,2,2,AI2Task,1,41,297.0,0.024390243902439025,0.008417508417508417,bottom,1
1,2,2,AI2User,1,41,297.0,0.024390243902439025,0.008417508417508417,bottom,1
1,2,2,Task2User,19,41,297.0,0.4634146341463415,0.15993265993265993,bottom,1
1,2,2,User2AI,1,41,297.0,0.024390243902439025,0.008417508417508417,bottom,1
1,2,2,User2Task,19,41,297.0,0.4634146341463415,0.15993265993265993,bottom,1
1,3,0,AI2Task,2,13,18.0,0.15384615384615385,0.2777777777777778,top,1
1,3,0,AI2User,1,13,18.0,0.07692307692307693,0.1388888888888889,top,1
1,3,0,Task2AI,1,13,18.0,0.07692307692307693,0.1388888888888889,top,1
1,3,0,Task2User,4,13,18.0,0.3076923076923077,0.5555555555555556,top,1
1,3,0,User2AI,2,13,18.0,0.15384615384615385,0.2777777777777778,top,1
1,3,0,User2Task,3,13,18.0,0.23076923076923078,0.41666666666666663,top,1
1,3,1,AI2Task,1,8,18.0,0.125,0.1388888888888889,top,1
1,3,1,AI2User,2,8,18.0,0.25,0.2777777777777778,top,1
1,3,1,Task2AI,3,8,18.0,0.375,0.41666666666666663,top,1
1,3,1,User2Task,2,8,18.0,0.25,0.2777777777777778,top,1
1,3,2,Task2AI,1,3,18.0,0.3333333333333333,0.1388888888888889,top,1
1,3,2,User2AI,1,3,18.0,0.3333333333333333,0.1388888888888889,top,1
1,3,2,User2Task,1,3,18.0,0.3333333333333333,0.1388888888888889,top,1
