User id,round,bucket,shift,count,shift_total_bucket,after_ai_appear_time,percent_shift,shift_per_sec,orientation,Acc
1,1,0,AI2Task,3,16,17.0,0.1875,0.2205882352941176,top,1
1,1,0,AI2User,1,16,17.0,0.0625,0.07352941176470587,top,1
1,1,0,Task2AI,1,16,17.0,0.0625,0.07352941176470587,top,1
1,1,0,Task2User,5,16,17.0,0.3125,0.3676470588235294,top,1
1,1,0,User2AI,3,16,17.0,0.1875,0.2205882352941176,top,1
1,1,0,User2Task,3,16,17.0,0.1875,0.2205882352941176,top,1
1,1,1,User2Task,1,1,17.0,1.0,0.07352941176470587,top,1
1,10,0,AI2Task,4,28,42.0,0.14285714285714285,0.11904761904761904,bottom,1
1,10,0,AI2User,1,28,42.0,0.03571428571428571,0.02976190476190476,bottom,1
1,10,0,Task2AI,2,28,42.0,0.07142857142857142,0.05952380952380952,bottom,1
1,10,0,Task2User,10,28,42.0,0.35714285714285715,0.2976190476190476,bottom,1
1,10,0,User2AI,3,28,42.0,0.10714285714285714,0.08928571428571429,bottom,1
1,10,0,User2Task,8,28,42.0,0.2857142857142857,0.23809523809523808,bottom,1
1,10,1,AI2Task,2,5,42.0,0.4,0.05952380952380952,bottom,1
1,10,1,Task2AI,2,5,42.0,0.4,0.05952380952380952,bottom,1
1,10,1,Task2User,1,5,42.0,0.2,0.02976190476190476,bottom,1
1,2,0,AI2Task,8,141,297.0,0.05673758865248227,0.03367003367003367,bottom,1
1,2,0,AI2User,1,141,297.0,0.0070921985815602835,0.004208754208754209,bottom,1
1,2,0,Task2AI,9,141,297.0,0.06382978723404255,0.03787878787878787,bottom,1
1,2,0,Task2User,61,141,297.0,0.4326241134751773,0.2567340067340067,bottom,1
1,2,0,User2AI,2,141,297.0,0.014184397163120567,0.008417508417508417,bottom,1
1,2,0,User2Task,60,141,297.0,0.425531914893617,0.2525252525252525,bottom,1
1,2,1,AI2Task,1,41,297.0,0.024390243902439025,0.004208754208754209,bottom,1
1,2,1,AI2User,1,41,297.0,0.024390243902439025,0.004208754208754209,bottom,1
1,2,1,Task2User,19,41,297.0,0.4634146341463415,0.07996632996632996,bottom,1
1,2,1,User2AI,1,41,297.0,0.024390243902439025,0.004208754208754209,bottom,1
1,2,1,User2Task,19,41,297.0,0.4634146341463415,0.07996632996632996,bottom,1
1,3,0,AI2Task,3,21,18.0,0.14285714285714285,0.20833333333333331,top,1
