User id,round,bucket,location,percent duration,orientation,FPOGD,Acc
1,1,0,Task,0.6128525708132684,top,,1
1,1,0,User,0.3871474291867316,top,,1
1,1,1,AI,0.21156807601063105,top,,1
1,1,1,Task,0.16344901805728146,top,,1
1,1,1,User,0.6249829059320875,top,,1
1,1,2,AI,0.14066318300798797,top,,1
1,1,2,Task,0.3828128773024505,top,,1
1,1,2,User,0.4765239396895616,top,,1
1,1,3,AI,0.5509694347381833,top,,1
1,1,3,Task,0.4490305652618168,top,,1
1,1,4,Task,0.24202843639699287,top,,1
1,1,4,User,0.20959379424491995,top,,1
1,3,0,AI,0.11732888915409992,top,,1
1,3,0,Task,0.45508366934624533,top,,1
1,3,0,User,0.4275874414996547,top,,1
1,3,1,AI,0.18609793480302178,top,,1
1,3,1,Task,0.2848202872738067,top,,1
1,3,1,User,0.4114642967486324,top,,1
1,3,2,AI,0.1622770747191246,top,,1
1,3,2,Task,0.6349580253101116,top,,1
1,3,2,User,0.2027648999707639,top,,1
1,3,3,AI,0.6823791205195147,top,,1
1,3,3,Task,0.17629605928166792,top,,1
1,3,3,User,0.1413248201988176,top,,1
1,3,4,AI,0.6163567223296504,top,,1
1,3,4,Task,0.1510160950607788,top,,1
1,3,4,User,0.08134511289545758,top,,1
1,5,0,AI,0.3921971916355187,top,,1
1,5,0,Task,0.28101424386301643,top,,1
1,5,0,User,0.32678856450146476,top,,1
1,5,1,AI,0.27382555575072703,top,,1
1,5,1,Task,0.4631483758481827,top,,1
1,5,1,User,0.2630260684010904,top,,1
1,5,2,Task,0.42844519325364794,top,,1
1,5,2,User,0.5715548067463521,top,,1
1,5,3,AI,0.16467771746248888,top,,1
1,5,3,Task,0.5059595709691034,top,,1
1,5,3,User,0.3293627115684077,top,,1
1,5,4,AI,0.09380177064667726,top,,1
1,5,4,Task,0.5234371603966326,top,,1
1,5,4,User,0.38276106895669015,top,,1
1,7,0,AI,0.5239254051348977,top,,1
1,7,0,Task,0.18248855613504003,top,,1
1,7,0,User,0.2935860387300621,top,,1
1,7,1,AI,0.36722693317181504,top,,1
1,7,1,Task,0.6327730668281849,top,,1
1,7,2,AI,0.3892338751593472,top,,1
1,7,2,Task,0.2657445958736602,top,,1
1,7,2,User,0.3450215289669925,top,,1
1,7,3,Task,0.08723628350713729,top,,1
1,7,3,User,0.1105371566608073,top,,1
